Name, Logo URL, Gst number, Address, Telephone, Fax, E-mail, Website, Contact, Product, Special Product
ALLIANCE RUBBER PRODUCTS SDN BHD (52446-U),http://www.margma.com.my/wp-content/uploads/2017/07/alliance.jpg,1756438528,Lot 2716 & 2720_ Mk 7_ Kawasan Perindustrian Bukit Panchor_ 14300 Nibong Tebal_ Pulau Pinang_ MALAYSIA.,604-593 2235 / 7616,604-593 2262,alliancerubber@alliancerubber.com,www.alliancerubber.com,Ms. Chua Hooi Koon_ Managing DirectorMr. Chua Beng Chuan_ General Manager,(a)  Nitrile Examination Gloves / Disposable Gloves(b) Latex Examination Gloves / Disposable Gloves,None
ANSELL (KULIM) SDN BHD (57285-X),http://www.margma.com.my/wp-content/uploads/2017/07/Ansell_logo-300x93.png,None,Kulim Industrial Estate_ 09000 Kulim_ Kedah_ MALAYSIA.,604-489 1033,604-489 1903,preeta.nayar@ansell.com,www.ansell.com,Ms. Preeta Nayar_ General Manager,(a)  Latex Examination Gloves (Powder-free)(b) Household Gloves(c) Light Industrial Gloves,None
ANSELL NP SDN BHD (159719-W),http://www.margma.com.my/wp-content/uploads/2017/07/Ansell_logo-300x93.png,544587776,Lot 80_ Kawasan Perindustrian Air Keroh_ 75450 Melaka_ MALAYSIA.,606-232 8111,606-232 6800,gilbert.andrew@ansell.com,www.ansell.com,Mr. Andrew Gilbert_ General ManagerMr. Henry Wong_ Senior Manager_ SupplyThanabalan Thannimalai_ Associate Director_ QA_ Global Operations QARA,(a)  Surgical Powdered & Powder-free Gloves(b) Synthetic Powder Free(c) Industrial Gloves (Electronic & Pharmaceutical),None
APOLLO RUBBER SDN BHD (25665-K),http://www.margma.com.my/wp-content/uploads/2017/07/apollo.png,2028019712,Lot PT 609_ Lorong Perak 3_ Telok Panglima Garang Industrial Estate_ 42500 Telok Panglima Garang_ Selangor_ MALAYSIA.,603-3122 1101 / 1102,603-3122 8798,lakshmanan@apollorubber.commarketing@apollorubber.com,www.apollogloves.com,Mr.V. Lakshmanan_ DirectorMs. Norhawati binti Miskam_ Senior Marketing Executive,(a) Latex Examination Gloves (Powdered & Powder-free)(b) Latex Medical Gloves (Powdered & Powder-free)(c) Nitrile Gloves (Powdered & Powder-free)(d) High Risk Gloves (Powdered & Powder-free),None
BETELCARE SDN BHD,None,None,Lot 3342_ Jalan Keretapi Lama_ 7.5 Miles_ Off Jalan Kapar_ 42200_ Kapar_ Selangor,603-3290 3301,603-3290 3303,betelcaresb@gmail.com,www.a1glove.com,Mr. Abdul Rahman Richard_ Managing DirectorMr. Mohamad Zulfadhli_ Assistant Plant Manager,None,None
BONRIC SDN BHD (208508-M),http://www.margma.com.my/wp-content/uploads/2017/07/BONRIC.png,1744175104,LLot 25A & 26A_ Kawasan Perindustrian MIEL_ 44300 Batang Kali_ Selangor_ MALAYSIA.,603-6057 3400 / 4773,603-6057 4452,bsbhq@bonric.com.my ,www.bonric.com.my,Dr. S. Supra_ Group Managing DirectorMs. Rey_ Director,(a) Cleanroom class 10 & class 100 for Nitrile_ Latex_ Vinyl_ Polychloroprene & Polyisoprene Gloves(b) Enhanced ESD Nitrile gloves & Grippy Gloves(c) Long length 16” to 24” Latex and Nitrile Gloves(d) Sterile Surgical_ exam and Speciality gloves(e) Latex_ Nitrile Finger Cots for Cleanroom applications(f) Contract Cleanroom processing services for OEM(g) SAMM certified cleanroom product testing services,None
BRIGHTWAY HOLDINGS SDN BHD (169521-T),http://www.margma.com.my/wp-content/uploads/2017/07/BRIGHTWAY-300x147.png,541040640,LLot 1559_ Jalan Istimewa_ Batu Belah_ 42100 Klang_ Selangor_ MALAYSIA.,603-3343 1007,603-3341 4800,brightway@brightway919.combrightway919@gmail.combaskar@brightway919.com,www.brightway919.com,Dr. G. Baskaran_ Group Managing DirectorMrs. Ramola Baskaran_ Finance DirectorMr. Rajarethnam_ General ManagerMr. Felix Darrel_ Marketing Manager,Latex and Nitrile Examination / Surgical Gloves – Powdered_     Powder- free and Polymer-coated_ in Non-Textured (Smooth)_ Finger Textured and Textured Surface_ various thickness_ lengths & colours_ suitable for Medical_ Cleanroom and Chemotherapy use. Unlined Household / Industrial Gloves_ Finger Cots – Powdered_ Powder-free and Anti- Static_ Long length upto 24” (600mm) in all types; Long Length Latex Gloves [upto 24” (600mm)] for Obstetrician & Gynaecological use. Unlined Household / Industrial Gloves_ Chicken Deboning Gloves (Latex / Nitrile) Therapeutic Socks (Latex / Nitrile),None
CAREGLOVE GLOBAL SDN BHD (933760-W),http://www.margma.com.my/wp-content/uploads/2017/07/careglove_logo.png,918618112,Lot 17479_ Lorong Senawang 3/2_ Off Jalan Senawang 3_ Senawang Industrial Estate_ 70450 Seremban_ Negeri Sembilan_ MALAYSIA.,606-678 2377,606-678 5377,info@careglove.com,www.careplus.com,Mr. Lim Kwee Shyan_ Managing DirectorMs. Pauline Khoo_ Admin Manager,Latex Examination Powdered & Powder Free GlovesNitrile Examination Powdered & Powder Free GlovesSurgical Latex Powdered & Powder Free Gloves,None
CAREPLUS (M) SDN BHD (212677-K),http://www.margma.com.my/wp-content/uploads/2017/07/CAREPLUS-150x150.jpg,1944240128,Lot 120 & 121_ Jalan Senawang 3_ Senawang Industrial Estate_ 70450 Seremban_ Negri Sembilan_ MALAYSIA.,606-677 2781,606-677 2780,info@careplus.com ,www.careplus.com,Mr. Lim Kwee Shyan_ Managing DirectorMs. Christine Yew_ Director,(a) Latex Examination Gloves (Powdered & Powder-free)(b) Nitrile Examination Gloves (Powder-free)(c) Industrial Latex and Nitrile Gloves (Powdered & Powder-free),None
CENTRAL MEDICARE SDN BHD (660896-T),http://www.margma.com.my/wp-content/uploads/2017/07/central.jpg,1137467392,PT 2609 – 2620_ Batu 8_ Jalan Changkat Jong_ Mukim Changkat Jong_ 36000 Teluk Intan_ Perak_ MALAYSIA.,605-623 1220,605-623 1230,cm.rachel@centralmedicare.com.my,www.centralmedicare.com.my,Ms. Rachel Loo_ Sales Manager,Nitrile Examination Gloves,None
